stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,condition,voice_type,distorted_audio,sound_file,question_order,hire,hire_rt,intelligence,intelligence_rt,debrief_age,debrief_gender,debrief_audio_output,debrief_audio_problems,debrief_testing,debrief_other,debrief_attention,debrief_audio_quality,debrief_understandable,debrief_hire_exp,data_summary,id
NA,NA,html-keyboard-response,12,164605,0.0-12.0,3,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,intel-first,35,3657,61,8268,46,male,Headphones,"No, everything went smoothly",People's perceptions based on voice,Everything went smoothly,100,30,85,Yes,TRUE,1
NA,NA,html-keyboard-response,12,131815,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,60,2399.2,71,3327.8,38,male,Headphones,no,No idea,Not that I can think of,97,22,68,Yes,TRUE,2
NA,NA,html-keyboard-response,12,163865,0.0-12.0,1,computer,FALSE,sound_files/matthew_sales_short.mp3,intel-first,84,3247,76,4487,40,male,Headphones,no,hiring decisions,no,100,100,100,Yes,TRUE,3
NA,NA,html-keyboard-response,12,169801,0.0-12.0,4,human,FALSE,sound_files/human_sm_undistorted.mp3,hire-first,78,5174.3,80,5383.2,51,male,Headphones,no,my evaluation of a potential hire,no,100,100,100,Yes,TRUE,4
NA,NA,html-keyboard-response,12,120214,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,63,3464.2,66,4424.4,50,male,Laptop Speakers,no,"to be honest, i think implicit bias",n/a,97,28,70,Yes,TRUE,5
NA,NA,html-keyboard-response,12,168508,0.0-12.0,0,computer,FALSE,sound_files/matthew_sales_short.mp3,hire-first,60,4425,55,3280,42,female,Earbuds,NA,how artifical voices influence perception of competence,NA,94,62,72,No,TRUE,6
NA,NA,html-keyboard-response,12,284554,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,79,5264.7,99,12330.8,44,male,Headphones,None,How you value hiring decisions on an individual for sales and your thoughts on them.,Nothing comes to mind at this time,95,90,100,No,TRUE,7
NA,NA,html-keyboard-response,12,198743,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,74,7370.5,84,5502.5,49,male,Laptop Speakers,n/a,I think this experiement was test how a person's vocabulry affect the perception of the person's intelligence and compentence.,n/a,100,40,100,Yes,TRUE,8
NA,NA,html-keyboard-response,12,146412,0.0-12.0,1,computer,FALSE,sound_files/matthew_sales_short.mp3,intel-first,39,3515.9,68,4614.9,43,female,Headphones,No,Something to do with AI?,Nope. Thanks!,100,82,96,Yes,TRUE,9
NA,NA,html-keyboard-response,12,203686,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,92,6756.8,85,6662.1,55,male,Laptop Speakers,no,how you perceive hiring someone based on a few statementss,no,91,90,89,Yes,TRUE,10
